,,,,,,,,,,,,,
,Annual Top 10 Selling Albums: 1998-2018,,,,,,,,,Grammy Winners & Nominees: 1999-2019,,,
,2011,Own the Night,Lady Antebellum,"1,204,000",9,N/A,,,,2004,Under Construction,Missy Elliot ,Nominee
,2010,Recovery,Eminem,"3,415,000",1,N/A,,,,2004,Justified,Justin Timberlake,Nominee
,2010,Need You Now,Lady Antebellum,"3,089,000",2,Nominee,,,,2004,Fallen,Evanescence ,Nominee
,2010,Speak Now,Taylor Swift,"2,960,000",3,N/A,,,,2004,Elephant,The White Stripes ,Nominee
,2010,My World 2.0,Justin Bieber,"2,319,000",4,N/A,,,,2003,Come Away with Me,Norah Jones,Winner
,2010,The Gift,Susan Boyle,"1,852,000",5,N/A,,,,2003,The Eminem Show,Eminen,Nominee
,2010,The Fame,Lady Gaga,"1,591,000",6,Nominee,,,,2003,Home,Dixie Chicks ,Nominee
,2010,Soldier of Love,Sade,"1,300,000",7,N/A,,,,2003,Nellyville,Nelly,Nominee
,2010,Thank Me Later,Drake,"1,269,000",8,N/A,,,,2003,The Rising ,Bruce Springsteen,Nominee
,2010,Raymond V Raymond,Usher,"1,143,000",9,N/A,,,,2002,"O Brother, Where Art Thou? – Soundtrack[c]",Various Artists,Winner
,2010,Animal,Ke$ha,"1,143,000",10,N/A,,,,2002,Stankonia,OutKast,Nominee
,2009,Fearless,Taylor Swift,"3,217,000",1,,,,,2002,Love and Theft,Bob Dylan,Nominee
,2009,I Dreamed A Dream,Susan Boyle,"3,103,828",2,,,,,2002,All That You Can't Leave Behind,U2,Nominee
,2009,Number Ones,Michael Jackson,"2,355,000",3,,,,,2002,Acoustic Soul,India.Arie,Nominee
,2009,The Fame,Lady Gaga,"2,238,000",4,,,,,2001,Two Against Nature,,Winner
,2009,My Christmas,Andrea Bocelli,"2,207,000",5,,,,,2001,Kid A,Radiohead,Nominee
,2009,Hannah Montana Movie Soundtrack,Miley Cyrus,"1,823,000",6,,,,,2001,The Marshall Mathers LP,Eminem,Nominee
,2009,The E.N.D.,Black Eyed Peas,"1,786,852",7,,,,,2001,Midnite Vultures ,Beck,Nominee
,2009,Relapse,Eminem,"1,735,358",8,,,,,2001,You're the One,Paul Simon,Nominee
,2009,Blueprint 3,Jay-Z,"1,514,800",9,,,,,2010,,,
,2009,Only By the Night,Kings of Leon,"1,398,000",10,,,,,2010,,,
,2008,Tha Carter III,Lil Wayne,"2,874,000",1,,,,,2010,,,
,2008,Viva La Vida,Coldplay,"2,144,000",2,,,,,2010,,,
,2008,Fearless,Taylor Swift,"2,112,000",3,,,,,2010,,,
,2008, Rock N Roll Jesus,Kid Rock,"2,018,000",4,,,,,2009,,,
,2008, Black Ice,AC/DC,"1,915,000",5,,,,,2009,,,
,2008,Taylor Swift,Taylor Swift,"1,597,000",6,,,,,2009,,,
,2008,Death Magnetic,Metallica,"1,565,000",7,,,,,2009,,,
,2008,Paper Trail,T.I.,"1,522,000",8,,,,,2009,,,
,2008,Sleep Through the Static,Jack Johnson,"1,492,000",9,,,,,2010,,,
,2008, I Am…Sasha Fierce,Beyoncé,"1,459,000",10,,,,,2010,,,
,2007,Noel,Josh Groban,"3,698,934",1,,,,,2010,,,
,2007,High School Musical 2 Soundtrack,Various Artists,"2,956,799",2,,,,,2010,,,
,2007,Long Road Out Of Eden,Eagles,"2,608,338",3,,,,,2010,,,
,2007, As I Am,Alicia Keys,"2,543,224",4,,,,,2009,,,
,2007,Daughtry,Daughtry,"2,497,457",5,,,,,2009,,,
,2007, Hannah Montana 2 Soundtrack,Miley Cyrus,"2,487,346",6,,,,,2009,,,
,2007,Minutes To Midnight,Linkin Park,"2,098,941",7,,,,,2009,,,
,2007,The Duchess,Fergie,"2,063,572",8,,,,,2009,,,
,2007,Taylor Swift,Taylor Swift,"1,950,641",9,,,,,2010,,,
,2007,Graduation,Kanye West,"1,891,918",10,,,,,2010,,,
,2006,High School Musical Soundtrack,Various Artists,"3,720,000",1,,,,,2010,,,
,2006,Me and My Gang,Rascal Flatts,"3,480,000",2,,,,,2010,,,
,2006,Some Hearts,Carrie Underwood,"3,020,000",3,,,,,2010,,,
,2006,All the Right Reasons,Nickelback,"2,690,000",4,,,,,2009,,,
,2006,Futuresex/Lovesounds,Justin Timberlake,"2,380,000",5,,,,,2009,,,
,2006,Back to Bedlam,James Blunt,"2,140,000",6,,,,,2009,,,
,2006,B'Day,Beyoncé,"2,010,000",7,,,,,2009,,,
,2006,Hannah Montana Soundtrack,Miley Cyrus,"1,990,000",8,,,,,2009,,,
,2006,Taking the Long Way, Dixie Chicks,"1,860,000",9,,,,,2010,,,
,2006,Extreme Behavior,Hinder,"1,820,000",10,,,,,2010,,,
,2005,The Emancipation of Mimi,Mariah Carey,"4,968,606",1,,,,,2010,,,
,2005,Massacre,50 Cent,"4,852,744",2,,,,,2010,,,
,2005,Breakaway,Kelly Clarkson,"3,496,192",3,,,,,2010,,,
,2005,American Idiot,Green Day,"3,360,394",4,,,,,2009,,,
,2005,Monkey Business,Black Eyed Peas,"3,037,251",5,,,,,2009,,,
,2005,X&Y,Coldplay,"2,615,280",6,,,,,2009,,,
,2005,Feels Like Today,Rascal Flatts,"2,511,209",7,,,,,2009,,,
,2005,Love. Angel. Music. Baby,Gwen Stefani,"2,505,390",8,,,,,2009,,,
,2005,Late Registration,Kanye West,"2,413,580",9,,,,,2010,,,
,2005,The Documentary,The Game,"2,275,646",10,,,,,2010,,,
,2004,Confessions,Usher,"7,978,594",1,,,,,2010,,,
,2004, Feels Like Home,Norah Jones,"3,842,920",2,,,,,2010,,,
,2004,Encore,Eminem,"3,517,097",3,,,,,2010,,,
,2004,When The Sun Goes Down,Kenny Chesney,"3,072,224",4,,,,,2009,,,
,2004,Here for the Party,Gretchen Wilson,"2,931,097",5,,,,,2009,,,
,2004,Live Like You Were Dying,Tim McGraw,"2,786,840",6,,,,,2009,,,
,2004,Songs About Jane,Maroon 5,"2,708,415",7,,,,,2009,,,
,2004,Fallen,Evanescence,"2,614,226",8,,,,,2009,,,
,2004,Autobiography,Ashlee Simpson,"2,576,945",9,,,,,2010,,,
,2004,Now That's What I Call Music! 16,Various Artists,"2,560,316",10,,,,,2010,,,
,2003,Get Rich Or Die Tryin',50 Cent,"6,535,809",1,,,,,2010,,,
,2003,Come Away With Me,Norah Jones,"5,137,468",2,,,,,2010,,,
,2003,Meteora,Linkin Park,"3,478,361",3,,,,,2010,,,
,2003,Fallen,Evanescence,"3,364,738",4,,,,,2009,,,
,2003,Speakerboxx-Love,Outkast,"3,089,849",5,,,,,2009,,,
,2003,Dangerously In Love,Beyoncé,"2,527,485",6,,,,,2009,,,
,2003,Chocolate Factory,R. Kelly,"2,439,536",7,,,,,2009,,,
,2003,Metamorphosis,Hilary Duff,"2,405,544",8,,,,,2009,,,
,2003,Shock N Y'all,Toby Keith,"2,324,437",9,,,,,2010,,,
,2003,Rush Of Blood To The Head,Coldplay,"2,183,997",10,,,,,2010,,,
,2002,Eminem,Eminem,"7,607,925",1,,,,,2010,,,
,2002,Nellyville,Nelly,"4,916,073",2,,,,,2010,,,
,2002,Let Go,Avril Lavigne,"4,121,396",3,,,,,2010,,,
,2002,Home,Dixie Chicks,"3,690,413",4,,,,,2009,,,
,2002,8 Mile Soundtrack,Various Artists,"3,498,497",5,,,,,2009,,,
,2002,M!ssundaztood,Pink,"3,144,947",6,,,,,2009,,,
,2002,Ashanti,Ashanti,"3,099,216",7,,,,,2009,,,
,2002,Drive,Alan Jackson,"3,054,736",8,,,,,2009,,,
,2002,Up,Shania Twain,"2,909,499",9,,,,,2010,,,
,2002,"O Brother, Where Art Thou? Soundtrack",Various Artists,"2,736,049",10,,,,,2010,,,
,2001,Hybrid Theory ,Linkin Park,"4,812,852",1,,,,,2010,,,
,2001,Hotshot,Shaggy,"4,507,568",2,,,,,2010,,,
,2001,Celebrity,NSYNC,"4,421,231",3,,,,,2010,,,
,2001,Day Without Rain,Enya,"4,410,053",4,,,,,2009,,,
,2001, Break the Cycle,Staind,"4,242,507",5,,,,,2009,,,
,2001,Songs In A Minor,Alicia Keys,"4,102,482",6,,,,,2009,,,
,2001,Survivor,Destiny's Child,"3,718,446",7,,,,,2009,,,
,2001,Weathered,Creed,"3,581,344",8,,,,,2009,,,
,2001,"O Brother, Where Art Thou? Soundtrack",Various Artists,"3,460,852",9,,,,,2010,,,
,2001,Now That's What I Call Music! 6 ,Various Artists,"3,133,462",10,,,,,2010,,,
,2000,No Strings Attached,NSYNC,"9,936,104",1,,,,,2010,,,
,2000,The Marshall Mathers LP,Eminem,"7,921,107",2,,,,,2010,,,
,2000,Oops!...I Did it Again,Britney Spears,"7,893,544",3,,,,,2010,,,
,2000,Human Clay,Creed,"6,587,834",4,,,,,2009,,,
,2000,Supernatural,Santana,"5,857,824",5,,,,,2009,,,
,2000,1,The Beatles,"5,068,300",6,,,,,2009,,,
,2000,Country Grammar,Nelly,"5,067,529",7,,,,,2009,,,
,2000,Black and Blue,Backstreet Boys,"4,289,865",8,,,,,2009,,,
,2000,2001,Dr Dre,"3,992,311",9,,,,,2010,,,
,2000,The Writing's on the Wall,Destiny's Child,"3,802,165",10,,,,,2010,,,
,1999,Millennium,Backstreet Boys,"9,445,732",1,,,,,2010,,,
,1999,...Baby One More Time,Britney Spears,"8,358,619",2,,,,,2010,,,
,1999,Ricky Martin,Ricky Martin,"5,981,155",3,,,,,2010,,,
,1999,Come On Over, Shania Twain,"5,618,134",4,,,,,2009,,,
,1999,Significant Other,Limp Bizkit,"4,952,890",5,,,,,2009,,,
,1999,Supernatural ,Santana,"4,732,589",6,,,,,2009,,,
,1999,Devil Without a Cause, Kid Rock,"4,259,736",7,,,,,2009,,,
,1999,Fanmail,TLC,"4,186,685",8,,,,,2009,,,
,1999,Christina Aguilera,Christina Aguilera,"3,662,905",9,,,,,2010,,,
,1999,Wide Open Spaces,Dixie Chicks,"3,463,642",10,,,,,2010,,,
,1998,Titanic Soundtrack,Various Artists,"9,338,061",1,,,,,2010,,,
,1998,Let's Talk About Love,Celine Dion,"5,859,421",2,,,,,2010,,,
,1998,Backstreet Boys,Backstreet Boys,"5,709,369",3,,,,,2010,,,
,1998,Come On Over,Shania Twain,"4,872,841",4,,,,,2009,,,
,1998,NSYNC,NSYNC,"4,385,148",5,,,,,2009,,,
,1998,City of Angels Soundtrack,Various Artists,"4,120,508",6,,,,,2009,,,
,1998,Double Live,Garth Brooks,"3,892,288",7,,,,,2009,,,
,1998,Big Willie Style,Will Smith,"3,687,568",8,,,,,2009,,,
,1998,Savage Garden,Savage Garden,"3,247,406",9,,,,,2010,,,
,1998,Armageddon,Various Artists,"3,222,603",10,,,,,2010,,,
,,,,,,,,,,2010,,,
,,,,,,,,,,2010,,,
,,,,,,,,,,2010,,,
,,,,,,,,,,2009,,,
,,,,,,,,,,2009,,,
,,,,,,,,,,2009,,,
,,,,,,,,,,2009,,,
,,,,,,,,,,2009,,,
